Shot,Threshold,Total_Files,Overall_Accuracy,FSL_Class_0,FSL_Class_1,FSL_Class_2,FSL_Class_3,FSL_Unknown,FSL_Target_Total,Accuracy_Class_0,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3
5,0.3,16061,0.6876284166614781,763,5553,3838,3041,2866,13195,0.912568306010929,0.9678362573099415,0.8849156383782423,0.9497334348819497
5,0.35,16061,0.7454703941224083,468,4968,3373,2168,5084,10977,0.8114754098360656,0.9269005847953217,0.8086124401913876,0.8712871287128713
5,0.4,16061,0.7647718074839673,308,4217,2659,1558,7319,8742,0.6775956284153005,0.8692185007974481,0.6582724754469906,0.8027418126428028
5,0.45,16061,0.7345744349666895,209,3165,1653,1185,9849,6212,0.5273224043715847,0.7682083997873471,0.4147569881641904,0.7235338918507236
5,0.5,16061,0.631280742170475,157,2151,550,901,12302,3759,0.41530054644808745,0.5627325890483785,0.13850415512465375,0.6130997715156131
5,0.55,16061,0.536081190461366,102,1232,19,660,14048,2013,0.27595628415300544,0.32668793195108986,0.004784688995215311,0.4859101294744859
5,0.6,16061,0.476184546416786,65,481,0,457,15058,1003,0.17759562841530055,0.1278575225943647,0.0,0.3465346534653465
5,0.65,16061,0.43484216424880145,33,26,0,276,15726,335,0.09016393442622951,0.006911217437533227,0.0,0.2102056359482102
5,0.7,16061,0.4223273768756615,7,0,0,127,15927,134,0.01912568306010929,0.0,0.0,0.09672505712109672
5,0.75,16061,0.41597658925347114,0,0,0,32,16029,32,0.0,0.0,0.0,0.024371667936024372
5,0.8,16061,0.4140464479173152,0,0,0,1,16060,1,0.0,0.0,0.0,0.0007616146230007616
5,0.85,16061,0.4139841852935683,0,0,0,0,16061,0,0.0,0.0,0.0,0.0
5,0.9,16061,0.4139841852935683,0,0,0,0,16061,0,0.0,0.0,0.0,0.0
