Shot,Threshold,GT_Class,True_Class,Within_Target_Classes,Manually_Marked_As_Others,Total
5,0.45,Class_1,Sidewalk (C2),2891,871,3762
5,0.45,Class_2,Parked car (C3),1647,2324,3971
5,0.45,Class_3,Traffic cone (C4),950,363,1313
5,0.5,Class_0,Fence (C1),152,214,366
5,0.5,Class_1,Sidewalk (C2),2118,1644,3762
5,0.5,Class_2,Parked car (C3),550,3421,3971
5,0.5,Class_3,Traffic cone (C4),805,508,1313
5,0.55,Class_0,Fence (C1),101,265,366
5,0.55,Class_1,Sidewalk (C2),1229,2533,3762
5,0.55,Class_2,Parked car (C3),19,3952,3971
5,0.55,Class_3,Traffic cone (C4),638,675,1313
5,0.6,Class_0,Fence (C1),65,301,366
5,0.6,Class_1,Sidewalk (C2),481,3281,3762
5,0.6,Class_2,Parked car (C3),0,3971,3971
5,0.6,Class_3,Traffic cone (C4),455,858,1313
5,0.65,Class_0,Fence (C1),33,333,366
5,0.65,Class_1,Sidewalk (C2),26,3736,3762
5,0.65,Class_2,Parked car (C3),0,3971,3971
5,0.65,Class_3,Traffic cone (C4),276,1037,1313
5,0.7,Class_0,Fence (C1),7,359,366
5,0.7,Class_1,Sidewalk (C2),0,3762,3762
5,0.7,Class_2,Parked car (C3),0,3971,3971
5,0.7,Class_3,Traffic cone (C4),127,1186,1313
5,0.75,Class_0,Fence (C1),0,366,366
5,0.75,Class_1,Sidewalk (C2),0,3762,3762
5,0.75,Class_2,Parked car (C3),0,3971,3971
5,0.75,Class_3,Traffic cone (C4),32,1281,1313
5,0.8,Class_0,Fence (C1),0,366,366
5,0.8,Class_1,Sidewalk (C2),0,3762,3762
5,0.8,Class_2,Parked car (C3),0,3971,3971
5,0.8,Class_3,Traffic cone (C4),1,1312,1313
5,0.85,Class_0,Fence (C1),0,366,366
5,0.85,Class_1,Sidewalk (C2),0,3762,3762
5,0.85,Class_2,Parked car (C3),0,3971,3971
5,0.85,Class_3,Traffic cone (C4),0,1313,1313
5,0.9,Class_0,Fence (C1),0,366,366
5,0.9,Class_1,Sidewalk (C2),0,3762,3762
5,0.9,Class_2,Parked car (C3),0,3971,3971
5,0.9,Class_3,Traffic cone (C4),0,1313,1313
